City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,São Filipe,14.8961,-24.4956,70.02,60,41,16.69,CV,1675707329
1,Paamiut,61.994,-49.6678,12.69,68,100,10.0,GL,1675707708
2,Punta Arenas,-53.15,-70.9167,64.51,45,75,33.38,CL,1675707298
3,Hofn,64.2539,-15.2082,33.82,93,100,5.75,IS,1675707618
4,Hambantota,6.1241,81.1185,76.23,88,88,10.25,LK,1675707344
5,Lagos,6.5833,3.75,81.64,81,100,8.46,NG,1675707392
6,Avarua,-21.2078,-159.775,80.65,89,40,11.5,CK,1675707326
7,Lebu,-37.6167,-73.65,65.03,65,2,18.19,CL,1675707339
8,Labuhan,-6.8844,112.2051,75.87,87,100,6.22,ID,1675707709
9,Port Alfred,-33.5906,26.891,74.17,86,7,4.0,ZA,1675707321
10,Nanortalik,60.1432,-45.2371,14.25,87,100,7.67,GL,1675707317
11,San Cristobal,7.7669,-72.225,82.58,47,79,7.25,VE,1675707102
12,Albany,42.6001,-73.9662,40.37,73,99,1.99,US,1675707298
13,Atuona,-9.8,-139.0333,78.28,73,32,16.17,PF,1675707259
14,Ambanja,-13.6833,48.45,75.92,93,100,2.59,MG,1675707709
15,Kahului,20.8947,-156.47,75.85,86,75,12.66,US,1675707342
16,Spokane,47.6166,-117.3677,36.34,89,100,12.66,US,1675707616
17,Claveria,18.6074,121.0832,74.59,88,35,5.5,PH,1675707710
18,Torbay,47.6666,-52.7314,38.88,97,100,12.66,CA,1675707328
19,Puerto Ayora,-0.7393,-90.3518,85.96,88,63,13.0,EC,1675707317
20,Pisco,-13.7,-76.2167,80.65,69,0,13.8,PE,1675707563
21,Vaini,-21.2,-175.2,78.82,74,96,4.79,TO,1675707279
22,Bengkulu,-3.8004,102.2655,75.52,86,96,6.22,ID,1675707336
23,Kapaa,22.0752,-159.319,71.11,95,16,3.0,US,1675707307
24,Capão da Canoa,-29.7456,-50.0097,77.43,67,80,5.1,BR,1675707710
25,Bredasdorp,-34.5322,20.0403,71.64,86,87,11.48,ZA,1675707308
26,Dothan,31.2232,-85.3905,67.8,47,0,8.05,US,1675707711
27,Nikolskoye,59.7035,30.7861,28.29,94,99,6.31,RU,1675707595
28,Butaritari,3.0707,172.7902,80.1,83,99,17.9,KI,1675707319
29,Mataura,-46.1927,168.8643,59.4,57,12,8.43,NZ,1675707310
30,Ushuaia,-54.8,-68.3,56.86,67,75,23.02,AR,1675707298
31,Rikitea,-23.1203,-134.9692,78.24,74,16,5.7,PF,1675707297
32,Castro,-24.7911,-50.0119,79.79,47,53,3.67,BR,1675707299
33,Arraial do Cabo,-22.9661,-42.0278,87.76,62,20,13.8,BR,1675707300
34,Khartoum,15.5518,32.5324,81.01,15,100,11.12,SD,1675707711
35,Khasan,42.4308,130.6434,20.34,80,37,5.64,RU,1675707712
36,Hobart,-42.8794,147.3294,54.05,81,40,2.3,AU,1675707295
37,Camaná,-16.6228,-72.7111,78.85,74,88,7.92,PE,1675707646
38,Sinjār,36.3209,41.8754,49.8,55,73,9.95,IQ,1675707712
39,Jamestown,42.097,-79.2353,30.02,97,100,5.01,US,1675707306
40,Esperance,-33.8667,121.9,73.18,54,51,4.9,AU,1675707353
41,Upernavik,72.7868,-56.1549,-10.41,94,100,9.22,GL,1675707202
42,Te Anau,-45.4167,167.7167,55.56,89,100,7.83,NZ,1675707596
43,Pevek,69.7008,170.3133,-35.79,100,99,3.98,RU,1675707346
44,Necochea,-38.5473,-58.7368,75.22,40,11,18.63,AR,1675707626
45,Avanigadda,16.0215,80.9181,69.04,84,69,5.19,IN,1675707713
46,Busselton,-33.65,115.3333,66.09,82,29,11.81,AU,1675707304
47,Narrabri,-30.3167,149.7833,69.53,75,17,1.01,AU,1675707713
48,Tasiilaq,65.6145,-37.6368,14.16,97,76,3.44,GL,1675707297
49,Bluff,-46.6,168.3333,60.91,69,58,19.42,NZ,1675707301
50,East London,-33.0153,27.9116,76.14,88,0,14.97,ZA,1675707246
51,Hilo,19.7297,-155.09,73.27,99,100,6.91,US,1675707283
52,Souillac,-20.5167,57.5167,80.98,78,40,6.91,MU,1675707341
53,Saint Paul Harbor,57.79,-152.4072,33.31,64,0,4.61,US,1675707296
54,Cidreira,-30.1811,-50.2056,78.06,64,24,10.69,BR,1675707310
55,Ngunguru,-35.6167,174.5,61.99,91,28,7.45,NZ,1675707714
56,Ol'ga,43.7444,135.2892,8.94,86,71,5.61,RU,1675707714
57,Ca Mau,9.1769,105.15,74.66,87,82,2.55,VN,1675707715
58,Chokurdakh,70.6333,147.9167,-25.6,98,100,4.61,RU,1675707355
59,Udachny,66.4167,112.4,-28.41,98,100,3.0,RU,1675707715
60,Barrow,71.2906,-156.7887,-7.58,71,100,3.44,US,1675707286
61,Adrar,20.5022,-10.0711,72.36,16,69,6.11,MR,1675707715
62,Kaka,37.3482,59.6143,48.29,35,94,6.44,TM,1675707716
63,Saku,36.2167,138.4833,36.77,58,100,2.17,JP,1675707716
64,Lodwar,3.1191,35.5973,88.32,19,41,7.45,KE,1675707716
65,Buchanan,5.8808,-10.0467,82.53,75,51,10.94,LR,1675707652
66,Airai,-8.9266,125.4092,60.24,94,100,1.25,TL,1675707290
67,Srednekolymsk,67.45,153.6833,-37.55,100,97,6.29,RU,1675707346
